"cie10","descripcion"
"A191","Tuberculosis Miliar Aguda De Sitios Multiples"
"A192","Tuberculosis Miliar Aguda; No Especificada"
"A198","Otras Tuberculosis Miliares"
"A199","Tuberculosis Miliar; Sin Otra Especificacion"
"A200","Peste Bubonica"
"A201","Peste Celulocutanea"
"A202","Peste Neumonica"
"A203","Meningitis Por Peste"
"A207","Peste Septicemica"
"A208","Otras Formas De Peste"
"A209","Peste; No Especificada"
"A210","Tularemia Ulceroglandular"
"A211","Tularemia Oculoglandular"
"A212","Tularemia Pulmonar"
"A213","Tularemia Gastrointestinal"
"A217","Tularemia Generalizada"
"A218","Otras Formas De Tularemia"
"A219","Tularemia; No Especificada"
"A220","Carbunco Cutaneo"
"A221","Carbunco Pulmonar"
"A222","Carbunco Gastrointestinal"
"A227","Carbunco Septico"
"A228","Otras Formas De Carbunco"
"A229","Carbunco; No Especificado"
"A230","Brucelosis Debida A Brucella Melitensis"
"A231","Brucelosis Debida A Brucella Abortus"
"A232","Brucelosis Debida A Brucella Suis"
"A233","Brucelosis Debida A Brucella Canis"
"A238","Otras Brucelosis"
"A239","Brucelosis; No Especificada"
"A240","Muermo"
"A241","Melioidosis Aguda Y Fulminante"
"A242","Melioidosis Subaguda Y Cronica"
"A243","Otras Melioidosis"
"A244","Melioidosis; No Especificada"
"A250","Espirilosis"
"A251","Estreptobacilosis"
"A259","Fiebre Por Mordedura De Rata; No Especificada"
"A260","Erisipeloide Cutaneo"
"A267","Sepsis Por Erysipelothrix"
"A268","Otras Formas De Erisipeloide"
"A269","Erisipeloide; No Especificada"
"A270","Leptospirosis Icterohemorragica"
"A278","Otras Formas De Leptospirosis"
"A279","Leptospirosis; No Especificada"
"A280","Pasteurelosis"
"A281","Enfermedad Por Rasguno De Gato"
"A282","Yersiniosis Extraintestinal"
"A288","Otras Enfermedades Zoonoticas Bacterianas Especificadas; No Clasificadas En Otra Parte"
"A289","Enfermedad Zoonotica Bacteriana; Sin Otra Especificacion"
"A300","Lepra Indeterminada"
"A301","Lepra Tuberculoide"
"A302","Lepra Tuberculoide Limitrofe"
"A303","Lepra Limitrofe"
"A304","Lepra Lepromatosa Limitrofe"
"A305","Lepra Lepromatosa"
"A308","Otras Formas De Lepra"
"A309","Lepra; No Especificada"
"A310","Infecciones Por Micobacterias Pulmonares"
"A311","Infeccion Cutanea Por Micobacterias"
"A318","Otras Infecciones Por Micobacterias"
"A319","Infeccion Por Micobacteria; No Especificada"
"A320","Listeriosis Cutanea"
"A321","Meningitis Y Meningoencefalitis Listeriana"
"A327","Sepsis Listeriana"
"A328","Otras Formas De Listeriosis"
"A329","Listeriosis; No Especificada"
"A33X","Tetanos Neonatal"
"A34X","Tetanos Obstetrico"
"A35X","Otros Tetanos"
"A360","Difteria Faringea"
"A361","Difteria Nasofaringea"
"A362","Difteria Laringea"
"A363","Difteria Cutanea"
"A368","Otras Difterias"
"A369","Difteria; No Especificada"
"A370","Tos Ferina Debida A Bordetella Pertussis"
"A371","Tos Ferina Debida A Bordetella Parapertussis"
"A378","Tos Ferina Debida A Otras Especies De Bordetella"
"A379","Tos Ferina; No Especificada"
"A38X","Escarlatina"
"A390","Meningitis Meningococica"
"A391","Sindrome De Waterhouse-Friderichsen"
"A392","Meningococemia Aguda"
"A393","Meningococemia Cronica"
"A394","Meningococemia; No Especificada"
"A395","Enfermedad Cardiaca Debida A Meningococo"
"A398","Otras Formas De Enfermedad Meningococica"
"A399","Enfermedad Meningococica; No Especificada"
"A400","Sepsis Debida A Estreptococo; Grupo A"
"A401","Sepsis Debida A Estreptococo; Grupo B"
"A402","Sepsis Debida A Estreptococo; Grupo D"
"A403","Sepsis Debida A Streptococcus Pneumoniae"
"A408","Otras Sepsis Estreptococicas"
"A409","Sepsis Estreptococica; No Especificada"
"A410","Sepsis Debida A Staphylococcus Aureus"
"A411","Sepsis Debida A Otro Estafilococo Especificado"
"A412","Sepsis Debida A Estafilococo No Especificado"
"A413","Sepsis Debida A Haemophilus Influenzae"
"A414","Sepsis Debida A Anaerobios"
"A415","Sepsis Debida A Otros Organismos Gramnegativos"
"A418","Otras Sepsis Especificadas"
"A419","Sepsis; No Especificada"
"A420","Actinomicosis Pulmonar"
"A421","Actinomicosis Abdominal"
"A422","Actinomicosis Cervicofacial"
"A427","Sepsis Actinomicotica"
"A428","Otras Formas De Actinomicosis"
"A429","Actinomicosis; Sin Otra Especificacion"
"A430","Nocardiosis Pulmonar"
"A431","Nocardiosis Cutanea"
"A438","Otras Formas De Nocardiosis"
"A439","Nocardiosis; No Especificada"
"A440","Bartonelosis Sistemica"
"A441","Bartonelosis Cutanea Y Mucocutanea"
"A448","Otras Formas De Bartonelosis"
"A449","Bartonelosis; No Especificada"
"A46X","Erisipela"
"A480","Gangrena Gaseosa"
"A481","Enfermedad De Los Legionarios"
"A482","Enfermedad De Los Legionarios No Neumonica (Fiebre De Pontiac)"
"A483","Sindrome Del Choque Toxico"
"A484","Fiebre Purpurica Brasilena"
"A488","Otras Enfermedades Bacterianas Especificadas"
"A490","Infeccion Estafilococica; Sin Otra Especificacion"
"A491","Infeccion Estreptococica; Sin Otra Especificacion"
"A492","Infeccion Por Haemophilus Influenzae; Sin Otra Especificacion"
"A493","Infeccion Por Micoplasma; Sin Otra Especificacion"
"A498","Otras Infecciones Bacterianas De Sitio No Especificado"
"A499","Infeccion Bacteriana; No Especificada"
"A500","Sifilis Congenita Precoz; Sintomatica"
"A501","Sifilis Congenita Precoz; Latente"
"A502","Sifilis Congenita Precoz; Sin Otra Especificacion"
"A503","Oculopatia Sifilitica Congenita Tardia"
"A504","Neurosifilis Congenita Tardia [Neurosifilis Juvenil]"
"A505","Otras Formas De Sifilis Congenita Tardia; Sintomatica"
"A506","Sifilis Congenita Tardia; Latente"
"A507","Sifilis Congenita Tardia; Sin Otra Especificacion"
"A509","Sifilis Congenita; Sin Otra Especificacion"
"A510","Sifilis Genital Primaria"
"A511","Sifilis Primaria Anal"
"A512","Sifilis Primaria En Otros Sitios"
"A513","Sifilis Secundaria De Piel Y Membranas Mucosas"
"A514","Otras Sifilis Secundarias"
"A515","Sifilis Precoz; Latente"
"A519","Sifilis Precoz; Sin Otra Especificacion"
"A520","Sifilis Cardiovascular"
"A521","Neurosifilis Sintomatica"
"A522","Neurosifilis Asintomatica"
"A523","Neurosifilis No Especificada"
"A527","Otras Sifilis Tardias Sintomaticas"
"A528","Sifilis Tardia; Latente"
"A529","Sifilis Tardia; No Especificada"
"A530","Sifilis Latente; No Especificada Como Precoz O Tardia"
"A539","Sifilis; No Especificada"
"A540","Infeccion Gonococica Del Tracto Genitourinario Inferior Sin Absceso Periuretral Y De Glandula Acceso"
"A541","Infeccion Gonococica Del Tracto Genitourinario Inferior Con Absceso Periuretral Y De Glandulas Acces"
"A542","Pelviperitonitis Gonococica Y Otras Infecciones Gonococicas Genitourinarias"
"A543","Infeccion Gonococica Del Ojo"
"A544","Infeccion Gonococica Del Sistema Osteomuscular"
"A545","Faringitis Gonococica"
"A546","Infeccion Gonococica Del Ano Y Del Recto"
"A548","Otras Infecciones Gonococicas"
"A549","Infeccion Gonococica; No Especificada"
"A55X","Linfogranuloma (Venereo) Por Clamidias"
"A560","Infeccion Del Tracto Genitourinario Inferior Debida A Clamidias"
"A561","Infeccion Del Pelviperitoneo Y Otros Organos Genitourinarios Debida A Clamidias"
"A562","Infecciones Del Tracto Genitourinario Debidas A Clamidias; Sin Otra Especificacion"
"A563","Infeccion Del Ano Y Del Recto Debida A Clamidias"
"A564","Infeccion De Faringe Debida A Clamidias"
"A568","Infeccion De Transmision Sexual De Otros Sitios Debida A Clamidias"
"A57X","Chancro Blando"
"A58X","Granuloma Inguinal"
"A590","Tricomoniasis Urogenital"
"A598","Tricomoniasis De Otros Sitos"
"A599","Tricomoniasis; No Especificada"
"A600","Infeccion De Genitales Y Trayecto Urogenital Debida A Virus Del Herpes [Herpes Simple]"
"A601","Infeccion De La Piel Perianal Y Recto Por Virus Del Herpes Simple"
"A609","Infeccion Anogenital Por Virus Del Herpes Simple; Sin Otra Especificacion"
"A630","Verrugas (Venereas) Anogenitales"
"A638","Otras Enfermedades De Transmision Predominantemente Sexual; Especificadas"
"A64X","Enfermedad De Transmision Sexual No Especificada"
"A65X","Sifilis No Venerea"
"A660","Lesiones Iniciales De Frambesia"
"A661","Lesiones Papilomatosas Multiples Y Frambesia Con Paso De Cangrejo"
"A662","Otras Lesiones Precoces De La Piel En La Frambesia"
"A663","Hiperqueratosis De Frambesia"
"A664","Goma Y Ulceras De Frambesia"
"A665","Gangosa"
"A666","Lesiones Frambesicas De Los Huesos Y De Las Articulaciones"
"A667","Otras Manifestaciones De Frambesia"
"A668","Frambesia Latente"
"A669","Frambesia; No Especificada"
"A670","Lesiones Primarias De La Pinta"
"A671","Lesiones Intermedias De La Pinta"
"A672","Lesiones Tardias De La Pinta"
"A673","Lesiones Mixtas De La Pinta"
"A679","Pinta; No Especificada"
"A680","Fiebre Recurrente Transmitida Por Piojos"
"A681","Fiebre Recurrente Transmitida Por Garrapatas"
"A689","Fiebre Recurrente; No Especificada"
"A690","Estomatitis Ulcerativa Necrotizante"
"A691","Otras Infecciones De Vincent"
"A692","Enfermedad De Lyme"
"A698","Otras Infecciones Especificadas Por Espiroquetas"
"A699","Infeccion Por Espiroqueta; No Especificada"
"A70X","Infeccion Debida A Chlamydia Psittaci"
"A710","Estado Inicial De Tracoma"
"A711","Estado Activo De Tracoma"
"A719","Tracoma; No Especificado"
"A740","Conjuntivitis Por Clamidias"
"A748","Otras Enfermedades Por Clamidias"
"A749","Infeccion Por Clamidias; No Especificada"
"A750","Tifus Epidemico Debido A Rickettsia Prowazekii Transmitido Por Piojos"
"A751","Tifus Recrudescente [Enfermedad De Brill]"
"A752","Tifus Debido A Rickettsia Typhi"
"A753","Tifus Debido A Rickettsia Tsutsugamushi"
"A759","Tifus; No Especificado"
"A770","Fiebre Maculosa Debida A Rickettsia Rickettsii"
"A771","Fiebre Maculosa Debida A Rickettsia Conorii"
"A772","Fiebre Maculosa Debida A Rickettsia Siberica"
"A773","Fiebre Maculosa Debida A Rickettsia Australis"
"A778","Otras Fiebres Maculosas"
"A779","Fiebre Maculosa; No Especificada"
"A78X","Fiebre Q"
"A790","Fiebre De Las Trincheras"
"A791","Rickettsiosis Pustulosa Debida A Rickettsia Akari"
"A798","Otras Rickettsiosis Especificadas"
"A799","Rickettsiosis; No Especificada"
"A800","Poliomielitis Aguda Paralitica; Asociada A Vacuna"
"A801","Poliomielitis Aguda Paralitica Debida A Virus Salvaje Importado"
"A802","Poliomielitis Aguda Paralitica Debida A Virus Salvaje Autoctono"
"A803","Otras Poliomielitis Agudas Paraliticas Y Las No Especificadas"
"A804","Poliomielitis Aguda No Paralitica"
"A809","Poliomielitis Aguda; Sin Otra Especificacion"
"A810","Enfermedad De Creutzfeldt-Jakob"
"A811","Panencefalitis Esclerosante Subaguda"
"A812","Leucoencefalopatia Multifocal Progresiva"
"A818","Otras Infecciones Del Sistema Nervioso Central Por Virus Atipico"
"A819","Infecciones Del Sistema Nervioso Central Por Virus Atipico; Sin Otra Especificacion"
"A820","Rabia Selvatica"
"A821","Rabia Urbana"
"A829","Rabia; Sin Otra Especificacion"
"A830","Encefalitis Japonesa"
"A831","Encefalitis Equina Del Oeste"
"A832","Encefalitis Equina Del Este"
"A833","Encefalitis De San Luis"
"A834","Encefalitis Australiana"
"A835","Encefalitis De California"
"A836","Enfermedad Por Virus Rocio"
"A838","Otras Encefalitis Virales Transmitidas Por Mosquitos"
"A839","Encefalitis Viral Transmitida Por Mosquitos; Sin Otra Especificacion"
"A840","Encefalitis Del Lejano Oriente Transmitida Por Garrapatas [Encefalitis Primaveroestival Rusa]"
"A841","Encefalitis Centroeuropea Transmitida Por Garrapatas"
"A848","Otras Encefalitis Virales Transmitida Por Garrapatas"
"A849","Encefalitis Viral Transmitida Por Garrapatas; Sin Otra Especificacion"
"A850","Encefalitis Enteroviral"
"A851","Encefalitis Por Adenovirus"
"A852","Encefalitis Viral Transmitida Por Artropodos; Sin Otra Especifcacion"
"A858","Otras Encefalitis Virales Especifcadas"
"A86X","Encefalitis Viral; No Especificada"
"A870","Meningitis Enteroviral"
"A871","Meningitis Debida A Adenovirus"
"A872","Coriomeningitis Linfocitica"
"A878","Otras Meningitis Virales"
"A879","Meningitis Viral; Sin Otra Especificacion"
"A880","Fiebre Exantematica Enteroviral [Exantema De Boston]"
"A881","Vertigo Epidemico"
"A888","Otras Infecciones Virales Especificadas Del Sistema Nervioso Central"
"A89X","Infeccion Viral Del Sistema Nervioso Central; No Especificada"
"A90X","Fiebre Del Dengue [Dengue Clasico]"
"A91X","Fiebre Del Dengue Hemorragico"
"A920","Enfermedad Por Virus Chikungunya"
"A921","Fiebre De O'Nyong-Nyong"
"A922","Fiebre Equina Venezolana"
"A923","Infeccion Por Virus Del Oeste Del Nilo"
"A924","Fiebre Del Valle Del Rift"
"A928","Otras Fiebres Virales Especificadas Transmitidas Por Mosquitos"
"A929","Fiebre Viral Transmitida Por Mosquito; Sin Otra Especificacion"
"A930","Enfermedad Por Virus De  Oropouche"
"A931","Fiebre Transmitida Por Flebotomos"
"A932","Fiebre De Colorado Transmitida Por Garrapatas"
"A938","Otras Fiebres Virales Especificadas Transmitidas Por Artropodos"
"A94X","Fiebre Viral Transmitida Por Artropodos; No Especificada"
"A950","Fiebre Amarilla Selvatica"
"A951","Fiebre Amarilla Urbana"
"A959","Fiebre Amarilla; No Especificada"
"A960","Fiebre Hemorragica De Junin"
"A961","Fiebre Hemorragica De Machupo"
"A962","Fiebre De Lassa"
"A968","Otras Fiebres Hemorragicas Por Arenavirus"
"A969","Fiebre Hemorragica Por Arenavirus; Sin Otra Especificacion"
"A980","Fiebre Hemorragica De Crimea-Congo"
"A981","Fiebre Hemorragica De Omsk"
"A982","Enfermedad De La Selva Kyasanur"
"A983","Enfermedad Por El Virus De Marburg"
"A984","Enfermedad Por El Virus De Ebola"
"A985","Fiebres Hemorragicas Con Sindrome Renal"
"A988","Otras Fiebres Hemorragicas Virales Especificadas"
"A99X","Fiebre Viral Hemorragica; No Especificada"
"B000","Eczema Herpetico"
"B001","Dermatitis Vesicular Herpetica"
"B002","Gingivoestomatitis Y Faringoamigdalitis Herpetica"
"B003","Meningitis Herpetica"
"B004","Encefalitis Herpetica"
"B005","Oculopatia Herpetica"
"B007","Enfermedad Herpetica Diseminada"
"B008","Otras Formas De Infecciones Herpeticas"
"B009","Infeccion Debida Al Virus Del Herpes; No Especificada"
"B010","Meningitis Debida A Varicela"
"B011","Encefalitis Debida A Varicela"
"B012","Neumonia Debida A Varicela"
"B018","Varicela Con Otras Complicaciones"
"B019","Varicela Sin Complicaciones"
"B020","Encefalitis Debida A Herpes Zoster"
"B021","Meningitis Debida A Herpes Zoster"
"B022","Herpes Zoster Con Otros Compromisos Del Sistema Nervioso"
"B023","Herpes Zoster Ocular"
"B027","Herpes Zoster Diseminado"
"B028","Herpes Zoster Con Otras Complicaciones"
"B029","Herpes Zoster Sin Complicaciones"
"B03X","Viruela"
"B04X","Viruela De Los Monos"
"B050","Sarampion Complicado Con Encefalitis"
"B051","Sarampion Complicado Con Meningitis"
"B052","Sarampion Complicado Con Neumonia"
"B053","Sarampion Complicado Con Otitis Media"
"B054","Sarampion Con Complicaciones Intestinales"
"B058","Sarampion Con Otras Complicaciones"
"B059","Sarampion Sin Complicaciones"
"B060","Rubeola Con Complicaciones Neurologicas"
"B068","Rubeola Con Otras Complicaciones"
"B069","Rubeola Sin Complicaciones"
"B07X","Verrugas Viricas"
"B080","Otras Infecciones Debidas A Ortopoxvirus"
"B081","Molusco Contagioso"
"B082","Exantema Subito [Sexta Enfermedad]"
"B083","Eritema Infeccioso [Quinta Enfermedad]"
"B084","Estomatitis Vesicular Enteroviral Con Exantema"
"B085","Faringitis Vesicular Enterovirica"
"B088","Otras Infecciones Virales Especificadas; Caracterizadas Por Lesiones De La Piel Y De Las Membranas M"
"B09X","Infeccion Viral No Especificada; Caracterizada Por Lesiones De La Piel Y De Las Membranas Mucosas"
"B150","Hepatitis Aguda Tipo A; Con Coma Hepatico"
"B159","Hepatitis Aguda Tipo A; Sin Coma Hepatico"
"B160","Hepatitis Aguda Tipo B; Con Agente Delta (Coinfeccion); Con Coma Hepatico"
"B161","Hepatitis Aguda Tipo B; Con Agente Delta (Coinfeccion); Sin Coma Hepatico"
"B162","Hepatitis Aguda Tipo B; Sin Agente Delta; Con Coma Hepatico"
"B169","Hepatitis Aguda Tipo B; Sin Agente Delta Y Sin Coma Hepatico"
"B170","Infeccion (Superinfeccion) Aguda Por Agente Delta En El Portador De Hepatitis B"
"B171","Hepatitis Aguda Tipo C"
"B172","Hepatitis Aguda Tipo E"
"B178","Otras Hepatitis Virales Agudas Especificadas"
"B179","Hepatitis Viral Aguda No Especificada"
"B180","Hepatitis Viral Tipo B Cronica; Con Agente Delta"
"B181","Hepatitis Viral Tipo B Cronica; Sin Agente Delta"
"B182","Hepatitis Viral Tipo C Cronica"
"B188","Otras Hepatitis Virales Cronicas"
"B189","Hepatitis Viral Cronica; Sin Otra Especificacion"
"B190","Hepatitis Viral No Especificada Con Coma Hepatico"
"B199","Hepatitis Viral No Especificada Sin Coma Hepatico"
"B200","Enfermedad Por Vih; Resultante En Infeccion Por Micobacterias"
"B201","Enfermedad Por Vih; Resultante En Otras Infecciones Bacterianas"
"B202","Enfermedad Por Vih; Resultante En Enfermedad Por Citomegalovirus"
"B203","Enfermedad Por Vih; Resultante En Otras Infecciones Virales"
"B204","Enfermedad Por Vih; Resultante En Candidiasis"
"B205","Enfermedad Por Vih; Resultante En Otras Micosis"
"B206","Enfermedad Por Vih; Resultante En Neumonia Por Pneumocystis Carinii"
"B207","Enfermedad Por Vih; Resultante En Infecciones Multiples"
"B208","Enfermedad Por Vih; Resultante En Otras Enfermedades Infecciosas O Parasitarias"
"B209","Enfermedad Por Vih; Resultante En Enfermedad Infecciosa O Parasitaria No Especificada"
"B210","Enfermedad Por Vih; Resultante En Sarcoma De Kaposi"
"B211","Enfermedad Por Vih; Resultante En Linfoma De Burkitt"
"B212","Enfermedad Por Vih; Resultante En Otros Tipos De Linfoma No Hodgkin"
"B213","Enfermedad Por Vih; Resultante En Otros Tumores Malignos Del Tejido Linfoide; Hematopoyetico Y Tejid"
"B217","Enfermedad Por Vih; Resultante En Tumores Malignos Multiples"
"B218","Enfermedad Por Vih; Resultante En Otros Tumores Malignos"
"B219","Enfermedad Por Vih; Resultante En Tumores Malignos No Especificados"
"B220","Enfermedad Por Vih; Resultante En Encefalopatia"
"B221","Enfermedad Por Vih; Resultante En Neumonitis Linfoide Intersticial"
"B222","Enfermedad Por Vih; Resultante En Sindrome Caquectico"
"B227","Enfermedad Por Vih; Resultante En Enfermedades Multiples Clasificadas En Otra Parte"
"B230","Sindrome De Infeccion Aguda Debida A Vih"
"B231","Enfermedad Por Vih; Resultante En Linfadenopatia Generalizada (Persistente)"
"B232","Enfermedad Por Vih; Resultante En Anormalidades Inmunologicas Y Hematologicas; No Clasificadas En Ot"
"B238","Enfermedad Por Vih; Resultante En Otras Afecciones Especificadas"
"B24X","Enfermedad Por Virus De La Inmunodeficiencia Humana [Vih]; Sin Otra Especificacion"
"B250","Neumonitis Debida A Virus Citomegalico"
"B251","Hepatitis Debida A Virus Citomegalico"
"B252","Pancreatitis Debida A Virus Citomegalico"
"B258","Otras Enfermedades Debidas A Virus Citomegalico"
"B259","Enfermedad Por Virus Citomegalico; No Especificada"
"B260","Orquitis Por Parotiditis"
"B261","Meningitis Por Parotiditis"
"B262","Encefalitis Por Parotiditis"
"B263","Pancreatitis Por Parotiditis"
"B268","Parotiditis Infecciosa Con Otras Complicaciones"
"B269","Parotiditis; Sin Complicaciones"
"B270","Mononucleosis Debida A Herpes Virus Gamma"
"B271","Mononucleosis Por Citomegalovirus"
"B278","Otras Mononucleosis Infecciosas"
"B279","Mononucleosis Infecciosa; No Especificada"
"B300","Queratoconjuntivitis Debida A Adenovirus"
"B301","Conjuntivitis Debida A Adenovirus"
"B302","Faringoconjuntivitis Viral"
"B303","Conjuntivitis Epidemica Aguda Hemorragica (Enterovirica)"
"B308","Otras Conjuntivitis Virales"
"B309","Conjuntivitis Viral; Sin Otra Especificacion"
"B330","Mialgia Epidemica"
"B331","Enfermedad Del Rio Ross"
"B332","Carditis Viral"
"B333","Infecciones Debidas A Retrovirus; No Clasificadas En Otra Parte"
"B334","Sindrome (Cardio) Pulmonar Por Hantavirus [Sph] [Scph]"
"B338","Otras Enfermedades Virales Especificadas"
"B340","Infeccion Debida A Adenovirus; Sin Otra Especificacion"
"B341","Infeccion Debida A Enterovirus; Sin Otra Especificacion"
"B342","Infeccion Debida A Coronavirus; Sin Otra Especificacion"
"B343","Infeccion Debida A Parvovirus; Sin Otra Especificacion"
"B344","Infeccion Debida A Papovavirus; Sin Otra Especificacion"
"B348","Otras Infecciones Virales De Sitio No Especificado"
"B349","Infeccion Viral; No Especificada"
"B350","Tina De La Barba Y Del Cuero Cabelludo"
"B351","Tina De Las Unas"
"B352","Tina De La Mano"
"B353","Tina Del Pie [Tinea Pedis]"
"B354","Tina Del Cuerpo [Tinea Corporis]"
"B355","Tina Imbricada [Tinea Imbricata]"
"B356","Tina Inguinal [Tinea Cruris]"
"B358","Otras Dermatofitosis"
"B359","Dermatofitosis; No Especificada"
"B360","Pitiriasis Versicolor"
"B361","Tina Negra"
"B362","Piedra Blanca"
"B363","Piedra Negra"
"B368","Otras Micosis Superficiales Especificadas"
"B369","Micosis Superficial; Sin Otra Especificacion"
"B370","Estomatitis Candidiasica"
"B371","Candidiasis Pulmonar"
"B372","Candidiasis De La Piel Y Las Unas"
"B373","Candidiasis De La Vulva Y De La Vagina"
"B374","Candidiasis De Otras Localizaciones Urogenitales"
"B375","Meningitis Debida A Candida"
"B376","Endocarditis Debida A Candida"
"B377","Sepsis Debida A Candida"
"B378","Candidiasis De Otros Sitios"
"B379","Candidiasis; No Especificada"
"B380","Coccidioidomicosis Pulmonar Aguda"
"B381","Coccidioidomicosis Pulmonar Cronica"
"B382","Coccidioidomicosis Pulmonar; Sin Otra Especificacion"
"B383","Coccidioidomicosis Cutanea"
