"nombre","municipio","correo","direccion","telefono","gerente"
"BIENESTAR CLINICAS LASER DE MEDICINA ALEMANA, DISMETABOLISMO Y DOLOR S.A.S.","CÚCUTA","BIENESTARCLINICALASER@GMAIL.COM","CALLE 20 #0E-39","5830830","HOLANDA FIGUEREDO CASTRO"
"BIOREUMA S.A.S.","CÚCUTA","gerencia@bioreuma.com","CALLE 13A No. 2E-87","5943165 - 3004208848","DENNIS CHRISTIAN RAMIREZ VELANDIA"
"BMGC CUCUTA","CÚCUTA","jsaffon@bostonmedical.com.co","AV 1 No. 15 43","3162810277","JOSE PABLO SAFFON CUARTAS"
"CARDIOLOGIA DIAGNOSTICA DEL NORTE S.A.S.- CARDINOR S.A.S.","CÚCUTA","cardinor.ltda@hotmail.com, cardinor.ltda","AV 1 #15-43 CENTRO MEDICO JERICO CONS 402-403-107","3164568716","ADRIANA MILENA ENCISO MATTOS"
"CENTRO CARDIOLOGICO LTDA","CÚCUTA","centro_cardiologico@hotmail.com","CALLE 18 # 0-57 B. BLANCO","5836974",""
"CENTRO DE ANÁLISIS INMUNO-CLÍNICO SAS","CÚCUTA","carloscamargoa@gmail.com","CALLE 15 # 0-43","5948333-5948334","CARLOS RAFAEL CAMARGO AILLON"
"CENTRO DE ATENCION Y DIAGNOSTICO DE ENFERMEDADES INFECCIOSAS C.D.I. S.A","CÚCUTA","cdi.gerencia@une.net.co, cdicucuta@telme","Avenida 0 Calle 18 Nº 18-34 BARRIO BLANCO","5941367","OLGA CECILIA NIÑO LOPEZ"
"CENTRO DE DIABETES Y METABOLISMO, CEDYM S.A.S.","CÚCUTA","gtaniaesperanza@hotmail.com","CALLE 13 2E 71","3152664547","TANIA ESPERANZA GUERRERO HERNANDEZ"
"CENTRO DE DISEÑO ORAL SONRIA MAS IPS S.A.S.","CÚCUTA","sonriamas@hotmail.com","MZ I1 LOTE 21 APARTAMENTO 1 ATALAYA I ETAPA","5817325","EDWIN DAVID RODRIGUEZ SEPULVEDA"
"CENTRO DE EXPERTOS PARA LA ATENCION INTEGRAL IPS SAS","CÚCUTA","cgarciacr@cepain.com.co","CALLE 18 N° 1 AE - 49","3123127153","JOSE OMAR QUINTERO PABON"
"CENTRO DE IMAGENOLOGIA Y LABORATORIO CLINICO CEIMLAB SAS","CÚCUTA","ceimlabsas@hotmail.com","AVENIDA 6 N° 14-56 BARRIO CENTRO","5729146","ROLANDO ARBEY CORREDOR OCHOA"
"CENTRO DE MEDICINA HIPERBARICA IPS SAS","CÚCUTA","gerencia@cmh.com.co","AVENIDA 9e no 10-57","3209628993- 5948263","DIANA CAROLINA TOLOZA MATAMOROS"
"CENTRO DE PSICOLOGIA Y TERAPIAS I.P.S. SAS","CÚCUTA","gloriagelgo@hotmail.com","CALLE 15A Nº1E-62 LOS CAOBOS","5834029","GLORIA ESTELLA GELVEZ DE GOMEZ"
"CENTRO DE REHABILITACIÓN FISICA INTEGRAL CEFINORT S.A.S.","CÚCUTA","cefinortsas@hotmail.com","CALLE 2 # 11E-45 QUINTA ORIENTAL","3137894717","JESSICA MARIA AUXILIADORA GONZALEZ FERNANDEZ"
"CENTRO DE REHABILITACION FISICO Y NEUROLOGICO CON-SENTIDOS S.A.S.","CÚCUTA","Con-sentidos2013@hotmail.com","KDX 560-C HACIENDA EL REFUGIO VIA BOCONO","5713320- 3043783915","ERIKA ORTIZ MELO"
"CENTRO DE REPRODUCCION Y SALUD DE LA MUJER S.A.S.","CÚCUTA","luisemilioescalante@yahoo.com","CALLE 13 No. 1E-54 CENTRO DE ESPECIALISTAS SAN JOSE TORRE A-","5716982- 3138173200","LUIS EMILIO ESCALANTE LUZARDO"
"CENTRO ESPECIALIZADO DE DIAGNOSTICO MATERNO INFANTIL I.P.S. SAS","CÚCUTA","cedmicucuta@hotmail.com","Calle 14A No 1E-41","5943244-5955360","NELSON OMAR SANCHEZ URE"
"CENTRO ESPECIALIZADO EN ENFERMEDADES DEL SENO IPS S.A.S","CÚCUTA","caomfi@hotmail.com","AVENIDA 0A #20-38","5730619 - 5719143","CARLOS OMAR FIGUEREDO DIETTES"
"CENTRO INTEGRAL DE ATENCION DIAGNOSTICA ESPECIALIZADA","CÚCUTA","CIADE.GERENCIA@HOTMAIL.COM","AV 11E 4 - 09 LC 4","3132029811","SANDRA XIMENA ROJAS BLANCO"
"CENTRO INTEGRAL DE REHABILITACION - CEIRE S.A.S.","CÚCUTA","ceireeu@gmail.com","AV 1a # 21-66","5723429","JUAN RUPERO RAMIREZ LABRADOR"
"CENTRO INTEGRAL DE REHABILITACION SEGURIDAD Y SALUD PARA EL TRABAJO I.P.S S. A.S.","CÚCUTA","cirssat_ips_sas@hotmail.com","Av 3 19-48","5750724","Blanca Liliana Velandia"
"CENTRO INTEGRAL DE SONRISAS SAS","CÚCUTA","gz_555@hotmail.com","AVENIDA 1 No 14-56 la playa","3142956493- 5727533","GLORIA ELIZABETH ZAPATA LOPEZ"
"CENTRO MEDICO DE URGENCIAS SAN RAFAEL LTDA","CÚCUTA","sanrafel_ips@hotmail.com","CALLE 12 # 2-44","5713147-5713411","SONIA QUINTERO BAYONA"
"CENTRO MEDICO OFTALMOLOGICO Y LABORATORIO CLINICO ANDRADE NARVAEZ SIGLA COLCAN S.A.S.","CÚCUTA","direccioncalidad@laboratoriocolcan.com","CL 4 Mz D No. 7E - 46","594 31 59","DIANA RAMIREZ"
"CENTRO NEUMOLOGICO DEL NORTE SAS","CÚCUTA","GERENCIA.CNEUMOLOGICO@GMAIL.COM","AV1 N°20-41","5830118","SHIRLEY DURAN CALDERON"
"CENTRO RADIOLOGICO 15 SA","CÚCUTA","centrord15sa@hotmail.com","CALLE 15 # 0-42 CONS 103- 104","5724106- 3202693169","GERMAN ENRIQUE PEREZ ARANGUREN"
"CHIQUI CLUB S.A.S","CÚCUTA","chiquiclub@hotmail.com","AV 0 # 6-26 URB LLERAS RESTREPO","5948310 3177892782","KAREN ANDREA CORZO RUEDA"
"CIA DE NEUROLOGOS.NEUROCIRUJANOS Y ESPECIALIDADES AFINES, SOCIEDAD ACCIONES SIMPLIF CONEURO S.A.S.","CÚCUTA","neurosnlqx@gmail.com","AV. 11E # 6 - 41","5948212","GLORIA ELVIRA PARDO RODRIGUEZ"
"CIRARTI S.A.S.","CÚCUTA","cirartisas@gmail.com","calle 13 1e - 44 consultorio 302b","5833353","CECILIA ESTHELA GOYENECHE PAREDES"
"CLINICA ABC ORTODONCIA SAS","CÚCUTA","abcortodonci@hotmail.com","CALLE 11 # 0-29 GRAN BULEVAR OFICINA 505-506A","5711177","CLAUDIA ROCIO GELVIS CARDENAS"
"CLINICA CEGINOB LTDA","CÚCUTA","ceginob@hotmail.com - ceginob@gmail.com","AV 1 # 15-92 LA PLAYA","5712305 - 5710979","CARLOS ARTURO FIGUEREDO MOLINA"
"CLINICA DE CANCEROLOGIA DEL NORTE DE SANTANDER LTDA.","CÚCUTA","cancerologians@hotmail.com","AV.2 # 17-94","5835932-5835933",""
"Clìnica de Oftalmología San Diego Cucuta","CÚCUTA","clinicasandiegocucuta@gmail.com","Avda 1 No 15 - 04","5713069","Mayron Dario Arevalo Quintero"
"CLINICA INTEGRAL DE SALUD ORAL CISO E.U.","CÚCUTA","safuly@hotmail.com - calidadciso@gmail.c","CALLE 11 N° 2E-10 LOCAL 203A BARRIO QUINTA VELEZ, CENTRO COM","5666403-5756330- 3153817064",""
"CLINICA LOS ANDES LTDA.","CÚCUTA","www.clinicalosandes3@hotmail.com","Av. 1 No. 17-21","5172233 - 5711488","EDULFO ANTONIO MANCERA BASTO"
"CLINICA MEDICO QUIRURGICA S.A","CÚCUTA","cmqcucuta@cmqcucuta.com","CALLE 16 #0-53","5756400","OLGA LILIANA PINZON DIAZ"
"CLINICA NEUMOLOGICA Y DEL SUEÑO S.A.S","CÚCUTA","rennyjaimes@hotmail.com","AVENIDA 1 #21B-55","3012733806- 5837837","RENNY JAIMES BELTRAN"
"CLINICA NORTE S.A.","CÚCUTA","gerencia@clinicanorte.com.co","AV 1 Nº 18-11","5711755","MANUEL IGNACIO GUARDIOLA PLAZAS"
"CLINICA ODONTOLOGICA DR. JUAN CAMILO PAEZ S.A.S","CÚCUTA","jcpaez_19@hotmail.com","CALLE 9 N° 4-50 LOCAL 235 C.C. RIVER PLAZA","3124450735","JUAN CAMILO PAEZ GARCIA"
"CLINICA ODONTOLOGICA SONRIA FELIZ SAS","CÚCUTA","servicioalclientesonriafeliz@hotmail.com","AVENIDA 4E # 6 - 113","5755085","GERMAN FRANCISCO SILVA BERMUDEZ"
"CLINICA OFTALMOLOGICA PEÑARANDA S.A.S","CÚCUTA","carlosipg@hotmail.com","CALLE 16 # 0E - 25 CAOBOS","5717442","PATRICIA HENAO GOMEZ"
"CLINICA SAN JOSE DE CUCUTA SA","CÚCUTA","clinsanjose@hotmail.com","CALLE 13 # 1E-74 B. LOS CAOBOS","5821111 - 3153740618","JOSÈ EDGAR SALGAR VILLAMIZAR"
"CLINICA SANTA ANA S.A.","CÚCUTA","clinica_santa_ana_sa@yahoo.es","AVENIDA 11E # 8 - 41","57 7 5828384","HUGO ERNESTO VERGEL RODRIGUEZ"
"CLINICA URGENCIAS LA MERCED S.A.S","CÚCUTA","clinicaurgenciaslamerced@yahoo.es","AV 4 Nº 4-25 BARRIO LATINO","5716060-5713536","JORGE ENRIQUE BAEZ QUIÑONES"
"CLINICAS ODONTOLOGICAS DENTTALITY S.A.S.","CÚCUTA","denttality@gmail.com","AVENIDA 1E N° 13-35","5922744- 3125609424- 3004578528","JAIME ALEXANDER CAMACHO CASTRO"
"CODIGO AZUL MEDICINA EN SU HOGAR S.A.S.","CÚCUTA","cesarflorez70@hotmail.com","CALLE 7 N° 5E-62 BARRIO SAYAGO","3115684826","JULIO CESAR FLOREZ GONZALEZ"
"COLON-GASTRO INSTITUTO I.P.S. Y SERVICIOS MEDICOS LIMITADA","CÚCUTA","jairovillaciru@yahoo.es","CALLE 13 # 1E-54 CLÍNICA SAN JOSE DE CÚCUTA - TORRE A - CONS","5713752","LUIS ALVARO SILVA PEÑARANDA"
"COMFAORIENTE I.P.S.","CÚCUTA","ipsconfaoriente@gmail.com","CALLE 16 No. 1-21 BARRIO LA PLAYA","5713817","OMAR JAVIER PEDRAZA FERNANDEZ"
"CONSULTORIO ODOMED RX S.A.S.","CÚCUTA","edgarsalasodcx@hotmail.com","CALLE 13 # 1E-81","5714655- 3174270921","EDGAR ALBERTO SALAS VILLAZAR"
"CONTACTO IPS S.A.S","CÚCUTA","","Avenida 12E No. 4-08 Consultorios 402-403 Centro Médico Los ","5742351","Rosa Juliana Acero Hernandez"
"Corporacion MI IPS Norte de Santander","CÚCUTA","mltorres@corporacionips.com.co","CALLE 17 No 2E -66","5711290","FERNANDO SARMIENTO AYALA"
"CORPORACION PARA LA ATENCION Y EL DIAGNOSTICO DE ENFERMEDADES MILAGROZ","CÚCUTA","dss@corporacionmilagroz.com","CALLE 0 N° 0E-43 BARRIO QUINTA BOSH","3125869801","LORENA ARROYO"
"CRUZ ROJA COLOMBIANA, SECCIONAL NORTE DE SANTANDER","CÚCUTA","nortesantander@cruzrojacolombiana.org","Av.2 Nº 19-52","5725603","NAVARRO URIBE GLADYS"
"DAVITA S.A.S.","CÚCUTA","calidad@davita.com","CALLE 1N No. 9E - 155","3186297919 / 5892290","ILIAM JOSE CHAUSTRE RICO"
"Dental Health Plus SAS","CÚCUTA","DENTALHEALTH@OUTLOOK.COM","AVENIDA 3 # 12-01 SAN LUIS","5845288","KATHERINE PEÑA"
"DENTIX COLOMBIA SAS","CÚCUTA","cmunoz@dentix.co","CL 13 NRO. 1E 09","3219731113","MIGUEL ANGEL SANCHEZ DE SEBASTIAN PINILLA"
"DIAGNOSIS ORAL E.U.","CÚCUTA","HANETT79@HOTMAIL.COM","CALLE 13 · 2-33","5727694 3167979891","HANETT DEL PILAR FAJARDO RAMIREZ"
"Diagnóstico y Asistencia Médica S.A.S. Institución Prestadora de Servicios de Salud","CÚCUTA","angeotsa@dinamicaips.com.co","AVENIDA GRAN COLOMBIA # 9E -120","5776703 EXT 74973","JUAN FELIPE MURILLO CARDONA"
"DIALY SER SAS","CÚCUTA","nikolai.engel@bbraun.com","CALLE 6N# 11E-123","5892250","NIKOLAI ENGEL"
"DUMIAN MÉDICAL S.A.S","CÚCUTA","dumian.cucuta@gmail.com","A 11E NUMERO 8 - 41","5745689","LILIANA PATRICIA AGUIRRE RAMIREZ"
"E.S.E CENTRO DE REHABILITACION CARDIO NEURO MUSCULAR DEL NORTE DE SANTANDER","CÚCUTA","heborucos@hotmail.com","CALLE 6BN # 12E-109 B. LOS ACACIOS","5745341 - 5745454","YONN ALEXANDER ALVAREZ BAYONA"
"E.S.E HOSPITAL UNIVERSITARIO ERASMO MEOZ","CÚCUTA","info@herasmomeoz.gov.co","AV. 11E #5A - 71 GUAIMARAL","5743175",""
"E.S.E. HOSPITAL MENTAL RUDESINDO SOTO","CÚCUTA","hosmentalcucuta@hotmail.com","CALLE 17 AVENIDAS 19A-19B","5824956","EDUARDO SALIM CHAHIN RUEDA"
"E.S.E. IMSALUD","CÚCUTA","gerencia@imsalud.gov.co","C.C. Bolívar LOCAL C-14","5827007 - 5763772","JUAN AGUSTIN RAMIREZ MONTOYA"
"ECOIMAGEN SALUD S.A.S.","CÚCUTA","ecoimagencucuta@outlook.com","CALLE 16 N° 1E-42 BARRIO CAOBOS","3185571738","KAREN LORENA JACOME CERVERA"
"EL PRINCIPIO DE UNA ESPERANZA","CÚCUTA","fundacionelprincipiodeunaesperanza@hotma","CLLE 13A Nº 1E-27 LOS CAOBOS","5712332","HUGO RODOLFO SEGURA ESCOBAR"
"ELASER RADIOLOGOS S.A.S.","CÚCUTA","annykatherine54@gmail.com","AVENIDA 1 N° 19-43 BARRIO BLANCO","3133762541- 3125921492","ANNY KATHERINE TAFUR BOLIVAR"
"EMERMOVIL S.A.S","CÚCUTA","yolandaruizm@hotmail.com","CALLE 10 No. 9E-08- Apartamento 103","5742929-5744040- 3157932546","YOLANDA RUIZ MARTINEZ"
"ENDOCRINORTE SAS","CÚCUTA","mari_agrace@hotmail.com","CALLE 17A N° 1E-106 BARRIO CAOBOS","5715177- 3016110106","MARIA GRACE ORTEGA MADARIAGA"
"ENDOSCOPIA DIGESTIVA S.A.S.","CÚCUTA","gerencia.ivd@hotmail.com","AVENIDA 9 ESTE No 8A-38","5745853-5955683- 5948238- 3124478469","DIANA MILENA BAYONA ROZO"
"ESTUDIOS E INVERSIONES MEDICAS S A ESIMED S A","CÚCUTA","direccionclinicalasalle@hotmail.com","CALLE 8 #1E-116 BARRIO POPULAR","5892501-5872500","GERMAN ANDRES PEREZ"
"EUREKA CLUB DE APRENDIZAJE S.A.S","CÚCUTA","eurekaclubdeaprendizaje@gmail.com","CL21 0B -22","5731515","LINA MARIA BECERRA VERA"
"EVOLUTIONDENT LTDA","CÚCUTA","jalamk@hotmail.com","Av 0 No 13-183","5711410","JORGE ANDRES ANGARITA LAMK"
"FRESENIUS MEDICAL CARE COLOMBIA S.A.","CÚCUTA","norma.forero@fmc-ag.com","CALLE 14 N° 1-37 BARRIO LA PLAYA","5721366- 3153261305","NORMA YANETH FORERO CHAUSTRE"
"FUNDACION CASA DEL DIABETICO FUNCADI","CÚCUTA","funcadi.col@gmail.com","AV 1 No.15-43 CONSULTORIO 506 EDIFICIO JERICO","3208567128","JORGE IVAN OCAMPO TRUQUE"
"FUNDACION INSTITUCION PRESTADORA DE SALUD SUEÑOS DE COLORES","CÚCUTA","fundacolores11@hotmail.com","AV 29 KDX 4 VIA BOCONO","5845666- 3138891200","NYDIA ISABEL ABREO QUINTERO"
"FUNDACION MARIO GAITAN YANGUAS","CÚCUTA","fmgycucuta@hotmail.com","CALLE 13A N° 1E-124 BARRO CAOBOS","5729882- 3173780456","CARLOS AUGUSTO CELIS VERGEL"
"FUNDACION MEDICO PREVENTIVA PARA EL BIENESTAR SOCIAL S.A- CUCUTA","CÚCUTA","nor.fmpcucuta@fundamep.com","AVENIDA 9E #6-107 QUINTA ORIENTAL","5755128","RODOLFO PINILLA MARQUEZ"
"Fundación para el Servicio Integral de Atención Médica - Fundación SIAM","CÚCUTA","calidad@fundacionsiam.org","AV 1E 15A-55 Local 3","3176426412","CESAR AUGUSTO BUENO SERRANO"
"FUTUMEDICA PLUS NS Nº 2","CÚCUTA","futumedicaplus@yahoo.es","CALLE 3 No 5 - 34","5795990","FANNY ESPERANZA PATIÑO DE TORRES"
"FUTURO VISION S.A.S.","CÚCUTA","futurovsionsas@gmail.com","CALLE 17 NUMERO 2E-54","3183881188","TONY ALEXANDER NEGRETE RAMIREZ"
"GASTROQUIRURGICA S.A.S.","CÚCUTA","gastroquirugicaltda@yahoo.com","CALLE 7 No 10E-72","5740468 3156785070","SANDRA PATRICIA MARTIN NIÑO"
"GESI SALUD IPS S.A.S","CÚCUTA","gesisaludsas@hotmail.com","calle 13 No 2E-50 BARRIO CAOBOS","5834195- 3112079509","Carlos Javier Maldonado Fuentes"
"GLOBAL SAFE SALUD S.A.S.","CÚCUTA","gerencia@globalsafesalud.com","Avenida 11 E # 5aN - 66.","3173641536","HILDA CAROLINA PATIÑO MANRIQUE"
"HIPERBARICAS CUCUTA IPS S.A.S.","CÚCUTA","contacto@vergelriascos.com","AVENIDA 11E No 5AN-71","5772506 - 3133923420","LUZ MARINA DELGADO SANTAELLA"
"I.P.S. AEROPUERTO","CÚCUTA","ipsaeropuerto@imsalud.gov.co","CLL 11 N. 3-66","5875033","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. BANCO DE ARENA","CÚCUTA","eseimsalud@hotmail.com","BANCO DE ARENA","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. BELEN","CÚCUTA","ipsbelen@imsalud.gov.co","CLL. 26 N. 27-90","5825189","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. BELISARIO","CÚCUTA","ipsbelisario@imsalud.gov.co","CLL. 14 N.14-25","5814802","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. BOCONO","CÚCUTA","eseimsalud@hotmail.com","AV. PRINCIPAL BOCONO","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. BUENA ESPERANZA","CÚCUTA","ipsbuenaesperanza@imsalud.gov.co","BUENA ESPERANZA","5827007","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. CLARET","CÚCUTA","ipsclaret@imsalud.gov.co","MZ. 55 LOTE O ESQUINA","5786965","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. CONTENTO","CÚCUTA","ipscontento@imsalud.gov.co","Calle 17 Nº 17-48","5828615","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. CUNDINAMARCA","CÚCUTA","ipscundinamarca@imsalud.gov.co","CLL 12 N. 22-70","5721434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. CURATEC CLINICA DE HERIDAS Y OSTOMIAS S.A.S.","CÚCUTA","clinicadeheridascuratec@gmail.com","AV 1E NRO 11-142","3108046484","ZULLY MARIA HERNANDEZ MORENO"
"I.P.S. DIVINA PASTORA","CÚCUTA","ipsdivinapastora@imsalud.gov.co","CLL 31 N. 39-15","5825880","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. DOMINGO PEREZ","CÚCUTA","eseimsalud@hotmail.com","AV. 19 N. 22-125","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. EL CERRITO","CÚCUTA","eseimsalud@hotmail.com","CASERIO EL CERRITO","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. EL RODEO","CÚCUTA","eseimsalud@hotmail.com","CALLE PRINCIPAL EL RODEO","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. EL SALADO","CÚCUTA","eseimsalud@hotmail.com","AV. 6 N. 19-07","5875509","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. GUAIMARAL","CÚCUTA","ipsguaimaral@imsalud.gov.co","AV. 12 E N. 9 BN-15","5742069","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. GUARAMITO","CÚCUTA","ipsguaramito@imsalud.gov.co","GUARAMITO","5827007","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. LA ERMITA","CÚCUTA","ipslaermita@imsalud.gov.co","Calle 35 Av. 9","5735177","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. LA FLORESTA","CÚCUTA","ipslafloresta@imsalud.gov.co","LA FLORESTA (Correg. Buena Esperanza)","5827007","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. LOMA DE BOLIVAR","CÚCUTA","ublomadebolivar@imsalud.gov.co","CLL 6 N. 13-78","5821024","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. NIÑA CECI","CÚCUTA","ipsninaceci@imsalud.gov.co","CLL 5 N. 7-89","5787034","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. OSPINA PEREZ","CÚCUTA","eseimsalud@hotmail.com","CLL 20 N. 5-19","5786420","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. PALMARITO","CÚCUTA","eseimsalud@hotmail.com","PALMARITO","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. PALMERAS","CÚCUTA","ipspalmeras@imsalud.gov.co","CLL. 21 AV. 48 ESQUINA","5815612","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. PORTICO","CÚCUTA","eseimsalud@hotmail.com","EL PORTICO","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. SAN MARTIN","CÚCUTA","eseimsalud@hotmail.com","CLL. 4 N. 10-45","5849233","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. SAN MATEO","CÚCUTA","eseimsalud@hotmail.com","CLL. 26 N. 3-06","5843434","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. SANTA ANA","CÚCUTA","eseimsalud@hotmail.com","AV 3 N. 5-40","5845652","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. SANTA CATALINA CLINICA DE HERIDAS Y OSTOMIAS S.A.S.","CÚCUTA","clinicadeheridasyostomias@hotmail.com","AV 10E Nº 7N-54 SANTA LUCIA","5887637- 3004082227","ROSALBINA RIVERA SANDOVAL"
"I.P.S. SEVILLA","CÚCUTA","eseimsalud@hotmail.com","AV. 8 N. 2AN-50","5792555","JUAN AGUSTIN RAMIREZ MONTOYA"
"I.P.S. TOLEDO PLATA","CÚCUTA","eseimsalud@hotmail.com","CLL 14 AV 17 ESQUINA","5871427","JUAN AGUSTIN RAMIREZ MONTOYA"
"INESO LTDA","CÚCUTA","clapamepa25@hotmail.com","CALLE 13A N° 1E-113","5740418","ANTONIO ESTEBAN MEZA BERMON"
"INSTITUCION PRESTADORA DE SERVICIOS DE SALUD DOMICILIARIOS SANARTE CLÍNICA DE HERIDAS Y OSTOMIAS S.A","CÚCUTA","ipssanarte@gmail.com","CALLE 7A N° 11-50 PISO 1, BARRIO LOMA DE BOLIVAR","5893893- 3125833098","BEATRIZ ADRIANA VILLAMIZAR SARMIENTO"
"INSTITUTO DE DIAGNOSTICO MEDICO S.A.","CÚCUTA","contabilidad@idime.com.co","Calle 12A No. 1E-24","5721034","LIDA YAMILE GONZALEZ BOLIVAR"
"INSTITUTO NEUROLOGICO INFANTIL S.A.S.","CÚCUTA","infaneuro@hotmail.com","CALLE 17 # 0-49","5834348","Amparo Sierra Rosales"
"INSTITUTO PARA EL RIESGO CARDIOVASCULAR IRC IPS SAS","CÚCUTA","gerencia@ircips.com","calle 13 a No 2e-47","3186171407","Sandra Calvano Sanchez"
"INTEGRADOS EN SALUD IPS LTDA","CÚCUTA","integradosensalud@gmail.com","CL 4 AN NRO. 22A-04 MZ J3 LT 1 ETAPA 1","5704908","FERNANDO PRADA VILLAMIZAR"
"INVERSIONES DENTALES SANTANDER S.A.S","CÚCUTA","sonriacucuta@gmail.com","AV 0 N 9-17","57+5+5723599","MARTHA PATRICIA ACUÑA BOHORQUEZ"
"Inversiones en Recreación Deporte y Salud S.A. - BODYTECH","CÚCUTA","cucuta@bodytech.com.co","Calle 11 No. 2-10 Local 3-01","5756333","ALEJANDRO ISAAC PEREZ ROJAS"
"IPS ASSOT S.A.S.","CÚCUTA","informacion@assotcolombia.com","AV 0 # 16-68","5725677 / 5727323","MARIA CECILIA RIVERA PINEDA"
"IPS BEST HOME CARE SAS","CÚCUTA","bhccucuta@hotmail.com","AVENIDA 3 N° 11- 40 EDIFICIO SAN MARTIN D2","375832362","LUZ MARCY MERCHAN CALDAS"
"IPS CENTRO DE FORMACION EL REENCUENTRO SAS","CÚCUTA","contable@atlascorp.co","AV 7 # 16 -16","5955542 - 3178874117 - 3115680554","JUAN MALAQUIES CHAUSTRE PEÑALOZA"
"IPS CLINICAL HOUSE S.A.S.","CÚCUTA","ipsclinicalhousesas@gmail.com, gerenciai","AV 1E N° 1-152 BARRIO QUINTA VELEZ","3124413333- 5956636- 3204967212","MIRYAM INES GUERRERO FERRER"
